SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,Remark
1,4,W41709307771582-WEd1a,Neem Tree,Azadirachta indica,19.31308042,76.49892524,58,33,10_50,26,Good,Ward 4,Pravin More,Good
2,4,W41709307778774-WEd1a,Neem Tree,Azadirachta indica,19.31481718,76.49653338,65,37,10_50,29,Good,Ward 4,Pravin More,Good
3,4,W41709307791170-WEd1a,Neem Tree,Azadirachta indica,19.3105697,76.49364565,62,35,10_50,28,Good,Ward 4,Pravin More,Good
4,4,W41709307810427-WEd1a,Neem Tree,Azadirachta indica,19.30038245,76.49081994,65,37,10_50,29,Good,Ward 4,Pravin More,Good
5,4,W41709307818467-WEd1a,Neem Tree,Azadirachta indica,19.30550447,76.49150826,58,33,10_50,26,Good,Ward 4,Pravin More,Good
6,4,W41709307832830-WEd1a,Neem Tree,Azadirachta indica,19.29946922,76.49408486,52,30,10_50,23,Good,Ward 4,Pravin More,Good
7,4,W41709307847082-WEd1a,Neem Tree,Azadirachta indica,19.30827474,76.4962209,49,28,10_50,22,Good,Ward 4,Pravin More,Good
8,4,W41709463990887-WEd1a,Subabul Tree,Leucaena leucocephala,19.29946226,76.49399601,45,26,10_50,20,Good,Ward 4,Pravin More,Good
9,4,W41709464003274-WEd1a,Ashoka Tree,Saraca asoca,19.29949295,76.49401713,57,33,10_50,26,Good,Ward 4,Pravin More,Good
10,4,W41709464007551-WEd1a,Ashoka Tree,Saraca asoca,19.29953029,76.49402216,54,31,10_50,24,Good,Ward 4,Pravin More,Good
11,4,W41709464008441-WEd1a,Ashoka Tree,Saraca asoca,19.29956225,76.49403356,62,35,10_50,28,Good,Ward 4,Pravin More,Good
12,4,W41709464010338-WEd1a,Ashoka Tree,Saraca asoca,19.29960022,76.49404094,74,42,10_50,33,Good,Ward 4,Pravin More,Good
13,4,W41709464023462-WEd1a,Neem Tree,Azadirachta indica,19.29952175,76.49396449,72,41,10_50,32,Good,Ward 4,Pravin More,Good
14,4,W41709464034693-WEd1a,Guava Tree,Psidium guajava,19.29962237,76.49409391,52,30,5_10,23,Good,Ward 4,Pravin More,Good
15,4,W41709464049719-WEd1a,Indian-almond Tree,Terminalia catappa,19.29950877,76.49392057,65,37,10_50,29,Good,Ward 4,Pravin More,Good
16,4,W41709464072857-WEd1a,Karanja Tree,Milletia Pinnata,19.29952903,76.49384581,62,35,5_10,28,Good,Ward 4,Pravin More,Good
17,4,W41709464082907-WEd1a,Neem Tree,Azadirachta indica,19.29937587,76.49380893,62,35,10_50,28,Good,Ward 4,Pravin More,Good
18,4,W41709464083370-WEd1a,Neem Tree,Azadirachta indica,19.29936068,76.4939075,53,30,10_50,24,Good,Ward 4,Pravin More,Good
19,4,W41709464093035-WEd1a,Subabul Tree,Leucaena leucocephala,19.299411,76.49373248,47,27,10_50,21,Good,Ward 4,Pravin More,Good
20,4,W41709464093818-WEd1a,Subabul Tree,Leucaena leucocephala,19.29937809,76.49374522,48,27,10_50,22,Good,Ward 4,Pravin More,Good
21,4,W41709516637599-akK0O,Palm tree,Arecaceae,19.3044473,76.49581555,41,23,5_10,18,Good,Ward 4,Pravin More,Good
22,4,W41709516642504-akK0O,Palm tree,Arecaceae,19.30445205,76.49574481,49,28,5_10,22,Good,Ward 4,Pravin More,Good
23,4,W41709516644024-akK0O,Palm tree,Arecaceae,19.30446059,76.49569787,51,29,5_10,23,Good,Ward 4,Pravin More,Good
24,4,W41709516645546-akK0O,Palm tree,Arecaceae,19.30446977,76.4956573,58,33,5_10,26,Good,Ward 4,Pravin More,Good
25,4,W41709516647100-akK0O,Palm tree,Arecaceae,19.30447609,76.49561238,59,34,5_10,26,Good,Ward 4,Pravin More,Good
26,4,W41709516683655-akK0O,Palm tree,Arecaceae,19.30465899,76.49580315,50,29,5_10,22,Good,Ward 4,Pravin More,Good
27,4,W41709516721976-akK0O,Fig Tree,Ficus carica,19.30446407,76.4957837,28,16,5_10,13,Good,Ward 4,Pravin More,Good
28,4,W41709516722969-akK0O,Fig Tree,Ficus carica,19.30447736,76.49575755,26,15,5_10,12,Good,Ward 4,Pravin More,Good
29,4,W41709516724280-akK0O,Fig Tree,Ficus carica,19.30447894,76.49572168,27,15,5_10,12,Good,Ward 4,Pravin More,Good
30,4,W41709516728155-akK0O,Fig Tree,Ficus carica,19.30448812,76.49567775,42,24,5_10,19,Good,Ward 4,Pravin More,Good
31,4,W41709516729366-akK0O,Fig Tree,Ficus carica,19.30449476,76.49563819,49,28,5_10,22,Good,Ward 4,Pravin More,Good
32,4,W41709516730907-akK0O,Fig Tree,Ficus carica,19.30450109,76.49556745,45,26,5_10,20,Good,Ward 4,Pravin More,Good
33,4,W41709516746242-akK0O,Fig Tree,Ficus carica,19.30451343,76.49552487,62,35,5_10,28,Good,Ward 4,Pravin More,Good
34,4,W41709516750134-akK0O,Fig Tree,Ficus carica,19.30450521,76.49546184,74,42,5_10,33,Good,Ward 4,Pravin More,Good
35,4,W41709516753995-akK0O,Fig Tree,Ficus carica,19.30450869,76.49540082,72,41,5_10,32,Good,Ward 4,Pravin More,Good
36,4,W41709516793081-akK0O,Fig Tree,Ficus carica,19.30464507,76.49585545,52,30,5_10,23,Good,Ward 4,Pravin More,Good
37,4,W41709516796252-akK0O,Fig Tree,Ficus carica,19.30466595,76.49583131,65,37,5_10,29,Good,Ward 4,Pravin More,Good
