SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,ownership,Remark,Display
7985,11,W111354236290923-GHe1b,Hiwar Tree,Acacia leucophloea,19.29678741,76.47198983,37,21,5_10,17,Good,Ward 11,Akshay Hake,Private,Good,No
7986,11,W111353936613049-GHe1b,Hiwar Tree,Acacia leucophloea,19.29958029,76.46629315,31,18,5_10,14,Good,Ward 11,Akshay Hake,Private,Good,No
7987,11,W111353636935175-GHe1b,Hiwar Tree,Acacia leucophloea,19.29692253,76.47198815,32,18,5_10,14,Good,Ward 11,Akshay Hake,Private,Good,No
7988,11,W111353337257301-GHe1b,Hiwar Tree,Acacia leucophloea,19.29811424,76.46644101,35,20,5_10,16,Good,Ward 11,Akshay Hake,Private,Good,No
7989,11,W111353037579427-GHe1b,Hiwar Tree,Acacia leucophloea,19.29737599,76.46829441,30,17,5_10,13,Good,Ward 11,Akshay Hake,Private,Good,No
7990,11,W111352737901553-GHe1b,Hiwar Tree,Acacia leucophloea,19.29678077,76.47169948,31,18,5_10,14,Good,Ward 11,Akshay Hake,Private,Good,No
7991,11,W111352438223679-GHe1b,Hiwar Tree,Acacia leucophloea,19.29757155,76.46725204,39,22,5_10,17,Good,Ward 11,Akshay Hake,Private,Good,No
7992,11,W111352138545805-GHe1b,Hiwar Tree,Acacia leucophloea,19.29738042,76.46719135,40,23,5_10,18,Good,Ward 11,Akshay Hake,Private,Good,No
7993,11,W111351838867931-GHe1b,Hiwar Tree,Acacia leucophloea,19.29721777,76.46717325,33,19,5_10,15,Good,Ward 11,Akshay Hake,Private,Good,No
7994,11,W111351539190057-GHe1b,Hiwar Tree,Acacia leucophloea,19.2971124,76.46703243,38,22,5_10,17,Good,Ward 11,Akshay Hake,Private,Good,No
7995,11,W111351239512183-GHe1b,Hiwar Tree,Acacia leucophloea,19.2966371,76.47190668,31,18,5_10,14,Good,Ward 11,Akshay Hake,Private,Good,No
